index,name_zh,name_original,current_images,missing,folder
76,"麦金太尔","Alasdair MacIntyre",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\麦金太尔"
77,"迈蒙尼德","Maimonides",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\迈蒙尼德"
78,"马可·奥勒留","Marcus Aurelius",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\马可·奥勒留"
79,"马尔库塞","Herbert Marcuse",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\马尔库塞"
80,"玛莎·努斯鲍姆","Martha Nussbaum",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\玛莎·努斯鲍姆"
81,"马克思","Karl Marx",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\马克思"
82,"韦伯","Max Weber",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\韦伯"
83,"梅洛-庞蒂","Maurice Merleau-Ponty",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\梅洛-庞蒂"
84,"约翰·斯图亚特·密尔","John Stuart Mill",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\约翰·斯图亚特·密尔"
85,"蒙田","Michel de Montaigne",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\蒙田"
86,"孟德斯鸠","Montesquieu",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\孟德斯鸠"
87,"尼采","Friedrich Nietzsche",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\尼采"
88,"诺齐克","Robert Nozick",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\诺齐克"
89,"奥卡姆","William of Ockham",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\奥卡姆"
90,"巴门尼德","Parmenides",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\巴门尼德"
91,"帕斯卡","Blaise Pascal",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\帕斯卡"
92,"皮尔士","Charles Sanders Peirce",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\皮尔士"
93,"布迪厄","Pierre Bourdieu",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\布迪厄"
94,"柏拉图","Plato",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\柏拉图"
95,"普罗提诺","Plotinus",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\普罗提诺"
96,"波普尔","Karl Popper",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\波普尔"
97,"普罗泰戈拉","Protagoras",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\普罗泰戈拉"
98,"皮浪","Pyrrho",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\皮浪"
99,"毕达哥拉斯","Pythagoras",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\毕达哥拉斯"
100,"蒯因","Willard Van Orman Quine",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\蒯因"
101,"罗尔斯","John Rawls",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\罗尔斯"
102,"利科","Paul Ricoeur",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\利科"
103,"罗蒂","Richard Rorty",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\罗蒂"
104,"卢梭","Jean-Jacques Rousseau",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\卢梭"
105,"罗素","Bertrand Russell",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\罗素"
106,"萨特","Jean-Paul Sartre",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\萨特"
107,"克里普克","Saul Kripke",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\克里普克"
108,"舍勒","Max Scheler",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\舍勒"
109,"谢林","Friedrich Wilhelm Joseph Schelling",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\谢林"
110,"叔本华","Arthur Schopenhauer",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\叔本华"
111,"阿马蒂亚·森","Amartya Sen",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\阿马蒂亚·森"
112,"塞涅卡","Seneca",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\塞涅卡"
113,"弗洛伊德","Sigmund Freud",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\弗洛伊德"
114,"苏格拉底","Socrates",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\苏格拉底"
115,"斯宾诺莎","Baruch Spinoza",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\斯宾诺莎"
116,"泰勒斯","Thales",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\泰勒斯"
117,"托马斯·内格尔","Thomas Nagel",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\托马斯·内格尔"
118,"托克维尔","Alexis de Tocqueville",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\托克维尔"
119,"维柯","Giambattista Vico",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\维柯"
120,"弗兰克尔","Viktor Frankl",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\弗兰克尔"
121,"伏尔泰","Voltaire",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\伏尔泰"
122,"威廉·詹姆斯","William James",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\威廉·詹姆斯"
123,"维特根斯坦","Ludwig Wittgenstein",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\维特根斯坦"
124,"玛丽·沃斯通克拉夫特","Mary Wollstonecraft",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\玛丽·沃斯通克拉夫特"
125,"芝诺","Zeno of Citium",0,2,"C:\Users\30290\Desktop\PhilosophyOS\photo\芝诺"
